09:28:59,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:29:09,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:29:19,138272,ILASP,19.9g,19.4g,12476,99.4,2.6
09:29:29,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:29:39,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:29:49,138272,ILASP,19.9g,19.4g,12476,99.4,2.6
09:29:59,138272,ILASP,19.9g,19.4g,12476,99.6,2.6
09:30:09,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:30:19,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:30:29,138272,ILASP,19.9g,19.4g,12476,99.3,2.6
09:30:39,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:30:49,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:30:59,138272,ILASP,19.9g,19.4g,12476,99.6,2.6
09:31:09,138272,ILASP,19.9g,19.4g,12476,99.4,2.6
09:31:19,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:31:29,138272,ILASP,19.9g,19.4g,12476,99.4,2.6
09:31:39,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:31:49,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:31:59,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:32:09,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:32:19,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:32:29,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:32:39,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:32:49,138272,ILASP,19.9g,19.4g,12476,99.3,2.6
09:32:59,138272,ILASP,19.9g,19.4g,12476,99.6,2.6
09:33:09,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:33:19,138272,ILASP,19.9g,19.4g,12476,99.4,2.6
09:33:29,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:33:39,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:33:49,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:33:59,138272,ILASP,19.9g,19.4g,12476,99.4,2.6
09:34:09,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:34:19,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:34:29,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:34:39,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:34:49,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:34:59,138272,ILASP,19.9g,19.4g,12476,99.4,2.6
09:35:09,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:35:19,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:35:29,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:35:39,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:35:49,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:35:59,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:36:09,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:36:19,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:36:29,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:36:39,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:36:49,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:36:59,138272,ILASP,19.9g,19.4g,12476,99.4,2.6
09:37:09,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:37:19,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:37:29,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:37:39,138272,ILASP,19.9g,19.4g,12476,99.6,2.6
09:37:49,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:37:59,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:38:09,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:38:19,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:38:29,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:38:39,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:38:49,138272,ILASP,19.9g,19.4g,12476,99.4,2.6
09:38:59,138272,ILASP,19.9g,19.4g,12476,99.6,2.6
09:39:09,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:39:19,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:39:29,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:39:39,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:39:49,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:39:59,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:40:09,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:40:19,138272,ILASP,19.9g,19.4g,12476,99.6,2.6
09:40:29,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:40:39,138272,ILASP,19.9g,19.4g,12476,99.6,2.6
09:40:49,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:40:59,138272,ILASP,19.9g,19.4g,12476,99.4,2.6
09:41:09,138272,ILASP,19.9g,19.4g,12476,99.6,2.6
09:41:19,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:41:29,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:41:39,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:41:49,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:41:59,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:42:09,138272,ILASP,19.9g,19.4g,12476,99.6,2.6
09:42:19,138272,ILASP,19.9g,19.4g,12476,99.4,2.6
09:42:30,138272,ILASP,19.9g,19.4g,12476,99.6,2.6
09:42:40,138272,ILASP,19.9g,19.4g,12476,99.6,2.6
09:42:50,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:43:00,138272,ILASP,19.9g,19.4g,12476,99.4,2.6
